Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC201201S 2X-",Ch1Unknown,"N1","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.6,1.6,24,11544,24,0,0,11544,2.44,11568,,,,,,,,1,,,1.6,0.4,50,,,64,36,1,1,4775,13080,3458.5,3478.5,"Rare Event Detection Experiment",,,,2.98,1.98,,,,,,,1.29,0.71,,,57,43,
"A02",Rare Event Detection,"RED","YC201201S 2X-",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.6,14,14775,13,1,0,14775,1.03,14789,,,,,,,,1.1,,,1.9,0.3,52,,,71,33,1,1,4775,12307,3515.9,3524.2,"Rare Event Detection Experiment",,,,1.44,0.84,,,,,,,1.49,0.66,,,62,42,
"A03",Rare Event Detection,"RED","YC201201S 2X",Ch1Unknown,"N1","Manual",0.8,One-Step RT-ddPCR Kit for Probes,16,,,1.5,0.4,10,14109,10,0,0,14109,0.834,14119,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,4775,12195,3391.8,3398.1,"Rare Event Detection Experiment",,,,1.13,0.6,,,,,,,1.45,0.55,,,61,39,
"A04",Rare Event Detection,"RED","YC201201S 2X",Ch1Unknown,"N1","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.3,0.9,19,15089,17,2,0,15089,1.32,15108,,,,,,,,1.1,,,1.9,0.4,53,,,69,36,1,1,4775,12009,3519.8,3530.4,"Rare Event Detection Experiment",,,,1.85,1.17,,,,,,,1.49,0.74,,,61,44,
"A05",Rare Event Detection,"RED","YC201201S 5X-",Ch1Unknown,"N1","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.5,2.4,39,13873,38,1,0,13873,3.22,13912,,,,,,,,1.03,,,1.49,0.56,51,,,62,39,1,1,5116,12285,3563,3587.4,"Rare Event Detection Experiment",,,,3.9,2.8,,,,,,,1.26,0.79,,,56,45,
"A06",Rare Event Detection,"RED","YC201201S 5X-",Ch1Unknown,"N1","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.2,1.6,35,17882,35,0,0,17882,2.3,17917,,,,,,,,1,,,1.47,0.53,50,,,62,38,1,1,4775,12816,3651.1,3669,"Rare Event Detection Experiment",,,,2.71,1.93,,,,,,,1.24,0.76,,,56,44,
"A07",Rare Event Detection,"RED","YC201201S 5X",Ch1Unknown,"N1","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.8,2,36,15214,36,0,0,15214,2.78,15250,,,,,,,,1,,,1.47,0.53,50,,,62,38,1,1,4775,12289,3680.3,3700.6,"Rare Event Detection Experiment",,,,3.27,2.34,,,,,,,1.24,0.76,,,56,44,
"A08",Rare Event Detection,"RED","YC201201S 5X",Ch1Unknown,"N1","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2.1,44,18134,44,0,0,18134,2.85,18178,,,,,,,,1,,,1.42,0.58,50,,,61,39,1,1,4775,12862,3612.4,3634.8,"Rare Event Detection Experiment",,,,3.3,2.44,,,,,,,1.21,0.79,,,55,45,
"A09",Rare Event Detection,"RED","POS 210130 1",Ch1Positive Control,"N1","Manual",58.1,One-Step RT-ddPCR Kit for Probes,1162,,,62.4,53.9,724,14298,694,30,0,14298,55.6,15022,,,,,,,,,,,,,,,,,,1,1,4775,18346,3327.3,4051.2,"Rare Event Detection Experiment",,,,60.3,56,,,,,,,,,,,,,
"A10",Rare Event Detection,"RED","NEG 210130 2",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.34,0,0,10315,0,0,0,10315,0,10315,,,,,,,,,,,,,,,,,,1,1,4775,0,3491.9,3491.9,"Rare Event Detection Experiment",,,,0.16,0,,,,,,,,,,,,,
