Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC201019S",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,8855,,,,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"A02",Rare Event Detection,"RED","YC201019S",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.6,0.6,14,16288,14,0,2,16286,1.01,16302,,,,,,,,0.9,,,1.5,0.2,47,,,65,29,1,1,8855,12733,3578.8,3586.7,"Rare Event Detection Experiment",,,,1.31,0.76,,,,,,,1.2,0.55,,,56,38,
"A03",Rare Event Detection,"RED","YC201019S-",Ch1Unknown,"N1","Manual",0.2,One-Step RT-ddPCR Kit for Probes,4,,,1.1,0,1,4978,1,0,9,4969,0.236,4979,,,,,,,,0.1,,,0.34,0,9,,,29,0,1,1,8855,11165,3345.8,3347.4,"Rare Event Detection Experiment",,,,0.59,0.06,,,,,,,0.22,0,,,19,0,
"A04",Rare Event Detection,"RED","YC201019S-",Ch1Unknown,"N1","Manual",0.36,One-Step RT-ddPCR Kit for Probes,7.2,,,0.85,0.11,4,13119,4,0,1,13118,0.359,13123,,,,,,,,0.8,,,1.9,0,44,,,78,11,1,1,8855,13147,3454.2,3457.1,"Rare Event Detection Experiment",,,,0.57,0.21,,,,,,,1.3,0.3,,,61,28,
"A05",Rare Event Detection,"RED","YC201105S",Ch1Unknown,"N1","Manual",1.3,One-Step RT-ddPCR Kit for Probes,26,,,2.1,0.7,13,11856,13,0,0,11856,1.29,11869,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,8855,12603,3412.1,3422.1,"Rare Event Detection Experiment",,,,1.68,0.96,,,,,,,1.39,0.61,,,60,40,
"A06",Rare Event Detection,"RED","YC201105S",Ch1Unknown,"N1","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.3,1,23,17600,22,1,0,17600,1.47,17623,,,,,,,,1,,,1.7,0.4,51,,,66,36,1,1,8855,12101,3495.7,3506.9,"Rare Event Detection Experiment",,,,1.88,1.24,,,,,,,1.36,0.73,,,59,44,
"A07",Rare Event Detection,"RED","YC201105S-",Ch1Unknown,"N1","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.3,1,22,16755,22,0,0,16755,1.54,16777,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,8855,12919,3488,3500.3,"Rare Event Detection Experiment",,,,1.9,1.24,,,,,,,1.3,0.7,,,58,42,
"A08",Rare Event Detection,"RED","YC201105S-",Ch1Unknown,"N1","Manual",0.62,One-Step RT-ddPCR Kit for Probes,12.4,,,1.15,0.28,8,15296,8,0,0,15296,0.615,15304,,,,,,,,1,,,2,0,50,,,75,25,1,1,8855,13476,3450,3455.3,"Rare Event Detection Experiment",,,,0.86,0.42,,,,,,,1.5,0.5,,,63,37,
"A09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",66.9,One-Step RT-ddPCR Kit for Probes,1338,,,71.2,62.5,912,15595,912,0,9,15586,66.9,16507,,,,,,,,,,,,,,,,,,1,1,8855,19456,3164.8,4064.9,"Rare Event Detection Experiment",,,,69.1,64.7,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC201020S",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,2.2,0,0,1631,0,0,0,1631,0,1631,,,,,,,,,,,,,,,,,,1,1,8855,0,2078.1,2078.1,"Rare Event Detection Experiment",,,,0.99,0,,,,,,,,,,,,,
