Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC210224S",Ch1Unknown,"N1","Manual",0.68,One-Step RT-ddPCR Kit for Probes,13.6,,,1.23,0.48,9,15603,9,0,0,15603,0.678,15612,,,,,,,,1,,,1.9,0.1,50,,,74,26,1,1,7300,13534,3508.4,3514.2,"Rare Event Detection Experiment",,,,0.93,0,,,,,,,1.47,0.53,,,62,38,
"A02",Rare Event Detection,"RED","YC210224S",Ch1Unknown,"N1","Manual",0.72,One-Step RT-ddPCR Kit for Probes,14.4,,,1.27,0.52,10,16296,10,0,0,16296,0.722,16306,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,7300,12703,3484,3489.7,"Rare Event Detection Experiment",,,,0.98,0,,,,,,,1.45,0.55,,,61,39,
"A03",Rare Event Detection,"RED","YC210224S-",Ch1Unknown,"N1","Manual",0.27,One-Step RT-ddPCR Kit for Probes,5.4,,,0.64,0.16,4,17424,4,0,0,17424,0.27,17428,,,,,,,,1,,,2.5,0,50,,,86,14,1,1,7300,13398,3601.9,3604.2,"Rare Event Detection Experiment",,,,0.43,0,,,,,,,1.7,0.3,,,68,32,
"A04",Rare Event Detection,"RED","YC210224S-",Ch1Unknown,"N1","Manual",0.55,One-Step RT-ddPCR Kit for Probes,11,,,1.03,0.38,8,17028,7,1,0,17028,0.484,17036,,,,,,,,1.1,,,2.3,0,53,,,79,27,1,1,7300,12968,3437.6,3442.1,"Rare Event Detection Experiment",,,,0.77,0,,,,,,,1.7,0.5,,,66,40,
"B01",Rare Event Detection,"RED","YC210225S",Ch1Unknown,"N1","Manual",0.26,One-Step RT-ddPCR Kit for Probes,5.2,,,0.69,0.13,3,13644,2,1,0,13644,0.172,13647,,,,,,,,1.5,,,4.4,0,60,,,107,13,1,1,7300,12802,3560.4,3562.4,"Rare Event Detection Experiment",,,,0.44,0,,,,,,,2.9,0.1,,,83,37,
"B02",Rare Event Detection,"RED","YC210225S",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.7,0.7,10,12044,10,0,0,12044,0.976,12054,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,7300,12930,3572.1,3579.8,"Rare Event Detection Experiment",,,,1.3,0,,,,,,,1.45,0.55,,,61,39,
"B03",Rare Event Detection,"RED","YC210225S-",Ch1Unknown,"N1","Manual",0.6,One-Step RT-ddPCR Kit for Probes,12,,,1.18,0.4,7,13620,6,1,0,13620,0.518,13627,,,,,,,,1.2,,,2.5,0,54,,,82,26,1,1,7300,14084,3635,3640.4,"Rare Event Detection Experiment",,,,0.86,0,,,,,,,1.8,0.5,,,68,40,
"B04",Rare Event Detection,"RED","YC210225S-",Ch1Unknown,"N1","Manual",0.86,One-Step RT-ddPCR Kit for Probes,17.2,,,1.42,0.64,13,17842,12,1,0,17842,0.791,17855,,,,,,,,1.1,,,1.9,0.2,52,,,72,32,1,1,7300,11916,3543.5,3549.6,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,1.52,0.65,,,62,42,
"C01",Rare Event Detection,"RED","YC210325S-",Ch1Unknown,"N1","Manual",1.11,One-Step RT-ddPCR Kit for Probes,22.2,,,1.78,0.85,15,15843,15,0,0,15843,1.11,15858,,,,,,,,1,,,1.7,0.3,50,,,68,32,1,1,7300,12849,3561.4,3570.2,"Rare Event Detection Experiment",,,,1.4,0,,,,,,,1.37,0.63,,,59,41,
"C02",Rare Event Detection,"RED","YC210325S-",Ch1Unknown,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,1.3,0,0,2695,0,0,6,2689,0,2695,,,,,,,,,,,,,,,,,,1,1,7300,0,3288.8,3288.8,"Rare Event Detection Experiment",,,,0.6,0,,,,,,,,,,,,,
