Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","26YC201026S",Ch1Unknown,"N1","Manual",0.85,One-Step RT-ddPCR Kit for Probes,17,,,1.43,0.45,12,16663,12,0,0,16663,0.847,16675,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,7131,13524,3418.9,3426.1,"Rare Event Detection Experiment",,,,1.12,0.63,,,,,,,1.41,0.59,,,60,40,
"A02",Rare Event Detection,"RED","26YC201026S",Ch1Unknown,"N1","Manual",0.83,One-Step RT-ddPCR Kit for Probes,16.6,,,1.42,0.43,11,15617,11,0,0,15617,0.828,15628,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,7131,12854,3584.3,3590.8,"Rare Event Detection Experiment",,,,1.1,0.6,,,,,,,1.43,0.57,,,61,39,
"A03",Rare Event Detection,"RED","26YC201026S-",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.6,12,13070,11,1,0,13070,0.99,13082,,,,,,,,1.1,,,2,0.2,52,,,73,31,1,1,7131,11954,3484,3491.8,"Rare Event Detection Experiment",,,,1.42,0.8,,,,,,,1.55,0.63,,,63,42,
"A04",Rare Event Detection,"RED","26YC201026S-",Ch1Unknown,"N1","Manual",0.73,One-Step RT-ddPCR Kit for Probes,14.6,,,1.33,0.35,9,14444,9,0,0,14444,0.733,14453,,,,,,,,1,,,1.9,0.1,50,,,74,26,1,1,7131,12892,3419.9,3425.8,"Rare Event Detection Experiment",,,,1.01,0.51,,,,,,,1.47,0.53,,,62,38,
"A05",Rare Event Detection,"RED","26YC201113S",Ch1Unknown,"N1","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.8,2,42,17524,42,0,0,17524,2.82,17566,,,,,,,,1,,,1.43,0.57,50,,,61,39,1,1,7131,11797,3368.1,3388.2,"Rare Event Detection Experiment",,,,3.27,2.4,,,,,,,1.22,0.78,,,55,45,
"A06",Rare Event Detection,"RED","26YC201113S",Ch1Unknown,"N1","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2.1,45,18543,45,0,0,18543,2.85,18588,,,,,,,,1,,,1.42,0.58,50,,,60,40,1,1,7131,12388,3433.5,3455.2,"Rare Event Detection Experiment",,,,3.3,2.45,,,,,,,1.21,0.79,,,55,45,
"A07",Rare Event Detection,"RED","26YC201113S-",Ch1Unknown,"N1","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.5,2.3,38,13579,37,1,0,13579,3.2,13617,,,,,,,,1.03,,,1.5,0.56,51,,,62,39,1,1,7131,12250,3458.6,3483.2,"Rare Event Detection Experiment",,,,3.8,2.8,,,,,,,1.26,0.79,,,56,45,
"A08",Rare Event Detection,"RED","26YC201113S-",Ch1Unknown,"N1","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.2,3.2,62,17632,62,0,0,17632,4.13,17694,,,,,,,,1,,,1.35,0.65,50,,,59,41,1,1,7131,12927,3599.2,3631.9,"Rare Event Detection Experiment",,,,4.7,3.6,,,,,,,1.18,0.82,,,54.5,45.5,
"A09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"N1","Manual",69.1,One-Step RT-ddPCR Kit for Probes,1382,,,73.5,64.6,912,15086,902,10,2,15084,68.3,15998,,,,,,,,,,,,,,,,,,1,1,7131,18429,3169.1,4039,"Rare Event Detection Experiment",,,,71.3,66.8,,,,,,,,,,,,,
"A10",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"N1","Manual",0.08,One-Step RT-ddPCR Kit for Probes,1.6,,,0.37,0,1,15016,1,0,0,15016,0.0783,15017,,,,,,,,,,,,,,,,,,1,1,7131,11597,3394.3,3394.8,"Rare Event Detection Experiment",,,,0.2,0.02,,,,,,,,,,,,,
