Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","26YC201217S",Ch1Unknown,"N1","Manual",6.8,One-Step RT-ddPCR Kit for Probes,136,,,8.2,5.5,96,16586,96,0,0,16586,6.79,16682,,,,,,,,1,,,1.28,0.72,50,,,57,43,1,1,8015,13385,4164.9,4217.9,"Rare Event Detection Experiment",,,,7.5,6.1,,,,,,,1.14,0.86,,,53.6,46.4,
"B01",Rare Event Detection,"RED","26YC201218S",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.6,1.9,38,16567,38,0,1,16566,2.7,16605,,,,,,,,0.97,,,1.41,0.54,49,,,61,38,1,1,8015,14072,3949.6,3972.8,"Rare Event Detection Experiment",,,,3.16,2.28,,,,,,,1.2,0.75,,,55,44,
"C01",Rare Event Detection,"RED","26YC201221S",Ch1Unknown,"N1","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.6,2.7,50,16521,50,0,2,16519,3.56,16571,,,,,,,,0.96,,,1.34,0.59,49,,,59,39,1,1,8015,13058,3898.9,3926.5,"Rare Event Detection Experiment",,,,4.1,3.1,,,,,,,1.15,0.77,,,54,44.1,
"D01",Rare Event Detection,"RED","26YC201222S",Ch1Unknown,"N1","Manual",2,One-Step RT-ddPCR Kit for Probes,40,,,3.2,1.2,16,9324,14,2,0,9324,1.76,9340,,,,,,,,1.1,,,2,0.3,53,,,71,35,1,1,8015,12849,3707.5,3723.2,"Rare Event Detection Experiment",,,,2.6,1.6,,,,,,,1.56,0.72,,,62,44,
"E01",Rare Event Detection,"RED","26YC201223S",Ch1Unknown,"N1","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2.1,45,18449,45,0,1,18448,2.87,18494,,,,,,,,0.98,,,1.38,0.57,49,,,60,39,1,1,8015,12750,3846,3867.7,"Rare Event Detection Experiment",,,,3.31,2.46,,,,,,,1.18,0.77,,,55,44,
"F01",Rare Event Detection,"RED","26YC201228S",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.5,1.9,42,18585,41,1,0,18585,2.59,18627,,,,,,,,1.02,,,1.47,0.58,51,,,61,40,1,1,8015,12665,3938.7,3958.4,"Rare Event Detection Experiment",,,,3.09,2.27,,,,,,,1.25,0.8,,,56,45,
"G01",Rare Event Detection,"RED","26YC201229S",Ch1Unknown,"N1","Manual",2.1,One-Step RT-ddPCR Kit for Probes,42,,,3.1,1.3,22,12372,22,0,0,12372,2.09,12394,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,8015,13309,3913.7,3930.4,"Rare Event Detection Experiment",,,,2.57,1.68,,,,,,,1.3,0.7,,,58,42,
"H01",Rare Event Detection,"RED","26YC201230S",Ch1Unknown,"N1","Manual",2,One-Step RT-ddPCR Kit for Probes,40,,,2.8,1.4,32,18482,30,2,0,18482,1.91,18514,,,,,,,,1.1,,,1.6,0.5,52,,,64,39,1,1,8015,12290,3732.4,3747.2,"Rare Event Detection Experiment",,,,2.42,1.7,,,,,,,1.34,0.8,,,58,45,
"A02",Rare Event Detection,"RED","26YC201217S",Ch1Unknown,"N1","Manual",4.7,One-Step RT-ddPCR Kit for Probes,94,,,5.9,3.7,71,17573,71,0,2,17571,4.74,17644,,,,,,,,0.97,,,1.29,0.65,49,,,58,41,1,1,8015,13502,4176.5,4214,"Rare Event Detection Experiment",,,,5.3,4.2,,,,,,,1.13,0.81,,,53.5,45.1,
"B02",Rare Event Detection,"RED","26YC201218S",Ch1Unknown,"N1","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.7,2,42,17577,42,0,1,17576,2.81,17619,,,,,,,,0.98,,,1.39,0.56,49,,,60,39,1,1,8015,12903,3939.9,3961.3,"Rare Event Detection Experiment",,,,3.26,2.4,,,,,,,1.19,0.77,,,55,44,
