Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","AA210401S",Ch1Unknown,"N1","Manual",0.87,One-Step RT-ddPCR Kit for Probes,17.4,,,1.42,0.49,14,18854,13,1,1,18853,0.811,18868,,,,,,,,1,,,1.8,0.2,50,,,69,31,1,1,5000,10866,2842.5,2848.4,"Rare Event Detection Experiment",,,,1.13,0.66,,,,,,,1.38,0.62,,,59,41,
"A02",Rare Event Detection,"RED","AA210401S",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.7,0.7,18,18809,17,1,0,18809,1.06,18827,,,,,,,,1.1,,,1.8,0.3,51,,,68,35,1,1,5000,10941,2821.3,2829.1,"Rare Event Detection Experiment",,,,1.41,0.88,,,,,,,1.42,0.7,,,60,43,
"A03",Rare Event Detection,"RED","AA210401S-",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.7,17,17673,14,3,0,17673,0.931,17690,,,,,,,,1.2,,,2.1,0.3,55,,,73,37,1,1,5000,10065,2848.6,2855.5,"Rare Event Detection Experiment",,,,1.43,0.88,,,,,,,1.65,0.78,,,64,46,
"A04",Rare Event Detection,"RED","AA210401S-",Ch1Unknown,"N1","Manual",1.02,One-Step RT-ddPCR Kit for Probes,20.4,,,1.58,0.62,18,20659,18,0,0,20659,1.02,20677,,,,,,,,1,,,1.7,0.3,50,,,67,33,1,1,5000,11463,2993.6,3001,"Rare Event Detection Experiment",,,,1.29,0.8,,,,,,,1.33,0.67,,,58,42,
"A05",Rare Event Detection,"RED","AA210411S",Ch1Unknown,"N1","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.3,1.7,35,16839,33,2,0,16839,2.3,16874,,,,,,,,1.1,,,1.6,0.6,51,,,63,40,1,1,5000,11449,3024.7,3042.2,"Rare Event Detection Experiment",,,,2.88,2.05,,,,,,,1.32,0.8,,,58,45,
"A06",Rare Event Detection,"RED","AA210411S",Ch1Unknown,"N1","Manual",1.4,One-Step RT-ddPCR Kit for Probes,28,,,2.1,0.9,22,18609,22,0,0,18609,1.39,18631,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,5000,11288,3037.1,3046.9,"Rare Event Detection Experiment",,,,1.71,1.11,,,,,,,1.3,0.7,,,58,42,
"A07",Rare Event Detection,"RED","AA210411S-",Ch1Unknown,"N1","Manual",1.6,One-Step RT-ddPCR Kit for Probes,32,,,2.3,1,23,17053,23,0,0,17053,1.59,17076,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,5000,11575,3077.6,3089,"Rare Event Detection Experiment",,,,1.94,1.28,,,,,,,1.29,0.71,,,57,43,
"A08",Rare Event Detection,"RED","AA210411S-",Ch1Unknown,"N1","Manual",1.9,One-Step RT-ddPCR Kit for Probes,38,,,2.7,1.3,33,20195,33,0,0,20195,1.92,20228,,,,,,,,1,,,1.49,0.51,50,,,62,38,1,1,5000,11087,3213.8,3226.6,"Rare Event Detection Experiment",,,,2.27,1.61,,,,,,,1.25,0.75,,,56,44,
"A09",Rare Event Detection,"RED","AA210419S",Ch1Unknown,"N1","Manual",1.6,One-Step RT-ddPCR Kit for Probes,32,,,2.2,1,25,18921,25,0,0,18921,1.55,18946,,,,,,,,1,,,1.6,0.4,50,,,64,36,1,1,5000,10505,2904,2914,"Rare Event Detection Experiment",,,,1.88,1.26,,,,,,,1.28,0.72,,,57,43,
"A10",Rare Event Detection,"RED","AA210419S",Ch1Unknown,"N1","Manual",1.6,One-Step RT-ddPCR Kit for Probes,32,,,2.3,1.1,28,20148,28,0,0,20148,1.63,20176,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,5000,10411,2892.7,2903.1,"Rare Event Detection Experiment",,,,1.96,1.34,,,,,,,1.27,0.73,,,57,43,
"A11",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19550,0,0,0,19550,0,19550,,,,,,,,,,,,,,,,,,1,1,5000,0,2811.3,2811.3,"Rare Event Detection Experiment",,,,0.082,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","AA210402S",Ch1Unknown,"N1","Manual",0.5,One-Step RT-ddPCR Kit for Probes,10,,,1.7,0.1,2,4333,1,1,1,4332,0.271,4335,,,,,,,,1,,,3.2,0,50,,,100,0,1,1,5000,11079,2838.9,2842.7,"Rare Event Detection Experiment",,,,1.04,0.24,,,,,,,2.1,0,,,76,24,
