Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","AA210421S",Ch1Unknown,"N1","Manual",0.42,One-Step RT-ddPCR Kit for Probes,8.4,,,0.86,0.27,6,16780,6,0,0,16780,0.421,16786,,,,,,,,1,,,2.2,0,50,,,79,21,1,1,6379,10796,2832.3,2835.1,"Rare Event Detection Experiment",,,,0.62,0,,,,,,,1.6,0.4,,,65,35,
"A02",Rare Event Detection,"RED","AA210421S",Ch1Unknown,"N1","Manual",0.55,One-Step RT-ddPCR Kit for Probes,11,,,1.12,0.35,6,12901,6,0,0,12901,0.547,12907,,,,,,,,1,,,2.2,0,50,,,79,21,1,1,6379,10111,2845.9,2849.3,"Rare Event Detection Experiment",,,,0.8,0,,,,,,,1.6,0.4,,,65,35,
"A03",Rare Event Detection,"RED","AA210421S-",Ch1Unknown,"N1","Manual",1.06,One-Step RT-ddPCR Kit for Probes,21.2,,,1.78,0.78,12,13345,12,0,0,13345,1.06,13357,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,6379,10591,2949.5,2956.4,"Rare Event Detection Experiment",,,,1.4,0,,,,,,,1.41,0.59,,,60,40,
"A04",Rare Event Detection,"RED","AA210421S-",Ch1Unknown,"N1","Manual",1.2,One-Step RT-ddPCR Kit for Probes,24,,,2.1,0.9,11,10437,10,1,0,10437,1.13,10448,,,,,,,,1.1,,,2.1,0.1,52,,,74,31,1,1,6379,10590,2910.5,2918.6,"Rare Event Detection Experiment",,,,1.7,0,,,,,,,1.58,0.62,,,63,41,
"A05",Rare Event Detection,"RED","AA210429S",Ch1Unknown,"N1","Manual",1.35,One-Step RT-ddPCR Kit for Probes,27,,,2.04,1.07,20,17359,17,3,2,17357,1.15,17379,,,,,,,,1.1,,,1.7,0.4,51,,,67,35,1,1,6379,10921,2961.3,2970.5,"Rare Event Detection Experiment",,,,1.7,0,,,,,,,1.39,0.72,,,59,43,
"A06",Rare Event Detection,"RED","AA210429S",Ch1Unknown,"N1","Manual",1.6,One-Step RT-ddPCR Kit for Probes,32,,,2.3,1.3,24,18093,24,0,3,18090,1.56,18117,,,,,,,,0.89,,,1.38,0.4,47,,,61,33,1,1,6379,10809,2957.6,2968,"Rare Event Detection Experiment",,,,1.9,0,,,,,,,1.14,0.64,,,54,40,
"A07",Rare Event Detection,"RED","AA210429S-",Ch1Unknown,"N1","Manual",1.48,One-Step RT-ddPCR Kit for Probes,29.6,,,2.18,1.2,23,18218,23,0,6,18212,1.48,18241,,,,,,,,0.79,,,1.23,0.36,44,,,58,31,1,1,6379,11747,2982.1,2993.2,"Rare Event Detection Experiment",,,,1.8,0,,,,,,,1.01,0.57,,,51,37,
"A08",Rare Event Detection,"RED","AA210429S-",Ch1Unknown,"N1","Manual",1.22,One-Step RT-ddPCR Kit for Probes,24.4,,,1.85,0.96,19,18344,18,1,0,18344,1.15,18363,,,,,,,,1.1,,,1.7,0.4,51,,,68,35,1,1,6379,11558,2925.9,2934.9,"Rare Event Detection Experiment",,,,1.5,0,,,,,,,1.4,0.71,,,60,43,
"B01",Rare Event Detection,"RED","AA210422S",Ch1Unknown,"N1","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.2,1.2,19,15258,18,1,0,15258,1.39,15277,,,,,,,,1.1,,,1.7,0.4,51,,,68,35,1,1,6379,11577,2933.2,2944,"Rare Event Detection Experiment",,,,1.8,0,,,,,,,1.4,0.71,,,60,43,
"B02",Rare Event Detection,"RED","AA210422S",Ch1Unknown,"N1","Manual",0.7,One-Step RT-ddPCR Kit for Probes,14,,,3.1,0.2,1,1789,0,1,0,1789,0,1790,,,,,,,,,,,,,,,,,,1,1,6379,6512.6,1824.1,1826.7,"Rare Event Detection Experiment",,,,1.6,0,,,,,,,,,,,,,
