Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC201201S 5X-",Ch1Unknown,"PMMoV","Manual",37.4,One-Step RT-ddPCR Kit for Probes,748,,,41,33.8,416,12893,,,,,,13309,,,,,,,,,,,,,,,,,,1,1,1000,2855.2,620.56,690.41,"Rare Event Detection Experiment",,,,39.2,35.5,,,,,,,,,,,,,
"A02",Rare Event Detection,"RED","YC201201S 5X-",Ch1Unknown,"PMMoV","Manual",32.6,One-Step RT-ddPCR Kit for Probes,652,,,35.9,29.4,393,13968,,,,,,14361,,,,,,,,,,,,,,,,,,1,1,1000,2826.7,616.33,676.82,"Rare Event Detection Experiment",,,,34.3,31,,,,,,,,,,,,,
"A03",Rare Event Detection,"RED","YC201201S 5X",Ch1Unknown,"PMMoV","Manual",34,One-Step RT-ddPCR Kit for Probes,680,,,37.3,30.6,387,13217,,,,,,13604,,,,,,,,,,,,,,,,,,1,1,1000,2762.2,615.48,676.55,"Rare Event Detection Experiment",,,,35.7,32.2,,,,,,,,,,,,,
"A04",Rare Event Detection,"RED","YC201201S 5X",Ch1Unknown,"PMMoV","Manual",34.3,One-Step RT-ddPCR Kit for Probes,686,,,37.7,30.9,392,13248,,,,,,13640,,,,,,,,,,,,,,,,,,1,1,1000,2786.8,631.74,693.67,"Rare Event Detection Experiment",,,,36,32.6,,,,,,,,,,,,,
"A05",Rare Event Detection,"RED","POS 210130 1",Ch1Negative Control,"PMMoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.25,0,0,14276,,,,,,14276,,,,,,,,,,,,,,,,,,1,1,1000,0,616.63,616.63,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"A06",Rare Event Detection,"RED","NEG 210130 2",Ch1Negative Control,"PMMoV","Manual",0.06,One-Step RT-ddPCR Kit for Probes,1.2,,,0.31,0,1,18129,,,,,,18130,,,,,,,,,,,,,,,,,,1,1,1000,2604.3,627.15,627.26,"Rare Event Detection Experiment",,,,0.16,0.02,,,,,,,,,,,,,
"A07",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","Manual",0.09,One-Step RT-ddPCR Kit for Probes,1.8,,,0.45,0,1,12578,,,,,,12579,,,,,,,,,,,,,,,,,,1,1,1000,3317.3,596.58,596.79,"Rare Event Detection Experiment",,,,0.23,0.03,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC201202S 5X-",Ch1Unknown,"PMMoV","Manual",66.2,One-Step RT-ddPCR Kit for Probes,1324,,,70.5,61.9,903,15608,,,,,,16511,,,,,,,,,,,,,,,,,,1,1,1000,2900.4,645.16,768.5,"Rare Event Detection Experiment",,,,68.4,64,,,,,,,,,,,,,
"B02",Rare Event Detection,"RED","YC201202S 5X-",Ch1Unknown,"PMMoV","Manual",53.4,One-Step RT-ddPCR Kit for Probes,1068,,,57.6,49.3,640,13773,,,,,,14413,,,,,,,,,,,,,,,,,,1,1,1000,2693.9,622.29,714.28,"Rare Event Detection Experiment",,,,55.6,51.3,,,,,,,,,,,,,
"B03",Rare Event Detection,"RED","YC201202S 5X",Ch1Unknown,"PMMoV","Manual",45.7,One-Step RT-ddPCR Kit for Probes,914,,,49.7,41.7,508,12832,,,,,,13340,,,,,,,,,,,,,,,,,,1,1,1000,2717.3,616.09,696.11,"Rare Event Detection Experiment",,,,47.7,43.7,,,,,,,,,,,,,
