Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,5,2159,,,,,,2164,,,,,,,,,,,,,,,,,,1,1,1045,2187.8,887.51,890.51,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"A02",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,9,3754,,,,,,3763,,,,,,,,,,,,,,,,,,1,1,1026,2266.1,859.79,863.15,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"A03",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,3,2250,,,,,,2253,,,,,,,,,,,,,,,,,,1,1,1052,2964.2,889.58,892.35,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"A04",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,5,2609,,,,,,2614,,,,,,,,,,,,,,,,,,1,1,1061,1995.9,875.2,877.35,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"A05",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,2,4193,,,,,,4195,,,,,,,,,,,,,,,,,,1,1,999,3777.6,857.27,858.67,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"A06",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,4,3826,,,,,,3830,,,,,,,,,,,,,,,,,,1,1,1023,2381,876.81,878.38,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"A07",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.8,0.5,9,10632,,,,,,10641,,,,,,,,,,,,,,,,,,1,1,1056,2787.2,815.1,816.77,"Rare Event Detection Experiment",,,,1.37,0.7,,,,,,,,,,,,,
"A08",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","Manual",0.6,One-Step RT-ddPCR Kit for Probes,12,,,1.22,0.23,6,11816,,,,,,11822,,,,,,,,,,,,,,,,,,1,1,1056,2955.9,793.22,794.31,"Rare Event Detection Experiment",,,,0.88,0.38,,,,,,,,,,,,,
"A09",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","Manual",0.7,One-Step RT-ddPCR Kit for Probes,14,,,1.4,0.3,7,11397,,,,,,11404,,,,,,,,,,,,,,,,,,1,1,1056,3059.1,810.37,811.75,"Rare Event Detection Experiment",,,,1.03,0.48,,,,,,,,,,,,,
"A10",Rare Event Detection,"RED","NTC",Ch1NTC,"PMMoV","Manual",0.46,One-Step RT-ddPCR Kit for Probes,9.2,,,1,0.16,5,12793,,,,,,12798,,,,,,,,,,,,,,,,,,1,1,1056,2767.8,820.46,821.22,"Rare Event Detection Experiment",,,,0.7,0.28,,,,,,,,,,,,,
