Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC201207S",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,16821,0,0,2,16819,0,16821,,,,,,,,,,,,,,,,,,1,1,5446,0,2230.9,2230.9,"Rare Event Detection Experiment",,,,0.096,0,,,,,,,,,,,,,
"A02",Rare Event Detection,"RED","YC201207S",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19481,0,0,1,19480,0,19481,,,,,,,,,,,,,,,,,,1,1,5446,0,2282.7,2282.7,"Rare Event Detection Experiment",,,,0.083,0,,,,,,,,,,,,,
"A03",Rare Event Detection,"RED","YC201207S-",Ch1Unknown,"BCoV","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.3,1.6,31,15284,2,29,617,14667,0.0599,15315,,,,,,,,0.049,,,0.067,0.031,4.7,,,6.3,3.1,1,1,5446,10533,2265.1,2281.8,"Rare Event Detection Experiment",,,,2.84,1.98,,,,,,,0.058,0.04,,,5.5,3.9,
"A04",Rare Event Detection,"RED","YC201207S-",Ch1Unknown,"BCoV","Manual",2.1,One-Step RT-ddPCR Kit for Probes,42,,,3,1.4,29,16282,1,28,609,15673,0,16311,,,,,,,,0.047,,,0.064,0.029,4.5,,,6.1,2.9,1,1,5446,10381,2301.7,2316,"Rare Event Detection Experiment",,,,2.51,1.73,,,,,,,0.056,0.038,,,5.3,3.7,
"A05",Rare Event Detection,"RED","YC210119S",Ch1Unknown,"BCoV","Manual",4.6,One-Step RT-ddPCR Kit for Probes,92,,,5.7,3.6,76,19361,5,71,781,18580,0.122,19437,,,,,,,,0.095,,,0.117,0.072,8.7,,,10.5,6.8,1,1,5446,10093,2186.1,2217,"Rare Event Detection Experiment",,,,5.2,4.1,,,,,,,0.106,0.084,,,9.6,7.7,
"A06",Rare Event Detection,"RED","YC210119S",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.1,3.1,62,18294,0,62,717,17577,0,18356,,,,,,,,0.085,,,0.107,0.063,7.8,,,9.7,5.9,1,1,5446,10292,2301.9,2328.9,"Rare Event Detection Experiment",,,,4.5,3.5,,,,,,,0.096,0.074,,,8.8,6.9,
"A07",Rare Event Detection,"RED","YC210119S-",Ch1Unknown,"BCoV","Manual",3.8,One-Step RT-ddPCR Kit for Probes,76,,,4.9,3,61,18654,1,60,749,17905,0,18715,,,,,,,,0.08,,,0.101,0.059,7.4,,,9.2,5.6,1,1,5446,10159,2222.4,2248.2,"Rare Event Detection Experiment",,,,4.35,3.37,,,,,,,0.09,0.069,,,8.3,6.5,
"A08",Rare Event Detection,"RED","YC210119S-",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.3,3.1,56,15909,2,54,681,15228,0,15965,,,,,,,,0.08,,,0.102,0.058,7.4,,,9.3,5.6,1,1,5446,10375,2323.9,2352.1,"Rare Event Detection Experiment",,,,4.7,3.6,,,,,,,0.092,0.069,,,8.4,6.5,
"A09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17541,0,0,17541,0,0,17541,,,,,,,,,,,,,,,,,,1,1,5446,0,2331.3,2331.3,"Rare Event Detection Experiment",,,,0.092,0,,,,,,,,,,,,,
"A10",Rare Event Detection,"RED","BCoV 1",Ch1Positive Control,"BCoV","Manual",2560,One-Step RT-ddPCR Kit for Probes,51200,,,2610,2510,14349,1832,2,14347,0,1832,0.145,16181,,,,,,,,,,,,,,,,,,1,1,5446,10597,2356,9663.9,"Rare Event Detection Experiment",,,,2589,2537,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC201208S",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.5,42,14256,3,39,730,13526,0.0737,14298,,,,,,,,0.056,,,0.073,0.038,5.3,,,6.9,3.7,1,1,5446,10561,2301.7,2326,"Rare Event Detection Experiment",,,,4,3,,,,,,,0.065,0.047,,,6.1,4.5,
"B02",Rare Event Detection,"RED","YC201208S",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.9,2.1,40,16354,4,36,803,15551,0.154,16394,,,,,,,,0.048,,,0.064,0.033,4.6,,,6,3.2,1,1,5446,10518,2319.8,2339.8,"Rare Event Detection Experiment",,,,3.35,2.44,,,,,,,0.056,0.041,,,5.3,3.9,
