Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC210205S",Ch1Unknown,"BCoV","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.4,1.7,31,14886,0,31,309,14577,0,14917,,,,,,,,0.099,,,0.136,0.062,9,,,12.1,6,1,1,5229,9500.2,2959.3,2972.9,"Rare Event Detection Experiment",,,,2.91,2.03,,,,,,,0.118,0.081,,,10.6,7.5,
"A02",Rare Event Detection,"RED","YC210205S",Ch1Unknown,"BCoV","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.6,15,16021,2,13,122,15899,0.139,16036,,,,,,,,0.12,,,0.19,0.06,11,,,16,6,1,1,5229,9467.6,3247.8,3253.6,"Rare Event Detection Experiment",,,,1.41,0.84,,,,,,,0.154,0.088,,,13.4,8.1,
"A03",Rare Event Detection,"RED","YC210205S-",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,3.9,2.2,46,18265,2,44,879,17386,0,18311,,,,,,,,0.051,,,0.066,0.036,4.9,,,6.2,3.5,1,1,5229,8943.6,2527,2543.1,"Rare Event Detection Experiment",,,,3.42,2.55,,,,,,,0.059,0.043,,,5.6,4.2,
"A04",Rare Event Detection,"RED","YC210205S-",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.2,2.4,49,17806,1,48,800,17006,0,17855,,,,,,,,0.06,,,0.077,0.043,5.6,,,7.2,4.1,1,1,5229,8745.8,2464.3,2481.6,"Rare Event Detection Experiment",,,,3.72,2.79,,,,,,,0.069,0.051,,,6.4,4.9,
"A05",Rare Event Detection,"RED","BCoV 1",Ch1Positive Control,"BCoV","Manual",2930,One-Step RT-ddPCR Kit for Probes,58600,,,2990,2870,17185,1556,1,17184,0,1556,0.0628,18741,,,,,,,,,,,,,,,,,,1,1,5229,9156.8,2546.2,8607.9,"Rare Event Detection Experiment",,,,2957,2900,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC210208S",Ch1Unknown,"BCoV","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.6,1.9,38,16699,0,38,566,16133,0,16737,,,,,,,,0.066,,,0.088,0.044,6.2,,,8.1,4.3,1,1,5229,9210.8,2630.7,2645.7,"Rare Event Detection Experiment",,,,3.13,2.26,,,,,,,0.077,0.055,,,7.2,5.2,
"B02",Rare Event Detection,"RED","YC210208S",Ch1Unknown,"BCoV","Manual",1.7,One-Step RT-ddPCR Kit for Probes,34,,,2.5,1.1,25,16979,0,25,532,16447,0,17004,,,,,,,,0.046,,,0.065,0.028,4.4,,,6.1,2.7,1,1,5229,8904.2,2506.1,2515.5,"Rare Event Detection Experiment",,,,2.1,1.41,,,,,,,0.056,0.037,,,5.3,3.6,
"B03",Rare Event Detection,"RED","YC210208S-",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.4,1.8,35,16412,1,34,411,16001,0.00906,16447,,,,,,,,0.084,,,0.113,0.055,7.7,,,10.2,5.3,1,1,5229,9086.3,2572.5,2586.4,"Rare Event Detection Experiment",,,,2.95,2.11,,,,,,,0.099,0.069,,,9,6.5,
"B04",Rare Event Detection,"RED","YC210208S-",Ch1Unknown,"BCoV","Manual",1.5,One-Step RT-ddPCR Kit for Probes,30,,,2.2,0.9,21,16678,2,19,453,16225,0.104,16699,,,,,,,,0.046,,,0.066,0.025,4.4,,,6.2,2.5,1,1,5229,8682.4,2508.6,2516.4,"Rare Event Detection Experiment",,,,1.83,1.18,,,,,,,0.056,0.035,,,5.3,3.4,
"B05",Rare Event Detection,"RED","BCoV 1",Ch1Positive Control,"BCoV","Manual",2810,One-Step RT-ddPCR Kit for Probes,56200,,,2870,2760,17490,1760,2,17488,1,1759,0,19250,,,,,,,,,,,,,,,,,,1,1,5229,9231.8,2554.7,8621.4,"Rare Event Detection Experiment",,,,2841,2788,,,,,,,,,,,,,
