Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","YC210224S",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.2,2.3,43,15955,1,42,340,15615,0.00629,15998,,,,,,,,0.125,,,0.165,0.085,11.1,,,14.3,8,1,1,5851,9317.8,2729.5,2747.2,"Rare Event Detection Experiment",,,,3.67,2.71,,,,,,,0.145,0.105,,,12.7,9.5,
"A02",Rare Event Detection,"RED","YC210224S",Ch1Unknown,"BCoV","Manual",2.1,One-Step RT-ddPCR Kit for Probes,42,,,2.9,1.5,33,18461,0,33,400,18061,0,18494,,,,,,,,0.082,,,0.111,0.053,7.6,,,10,5.1,1,1,5851,8948.4,2622.1,2633.4,"Rare Event Detection Experiment",,,,2.49,1.76,,,,,,,0.096,0.067,,,8.8,6.3,
"A03",Rare Event Detection,"RED","YC210224S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2.1,46,18552,0,46,388,18164,0,18598,,,,,,,,0.117,,,0.154,0.081,10.5,,,13.4,7.6,1,1,5851,9407.8,2816.2,2832.5,"Rare Event Detection Experiment",,,,3.36,2.51,,,,,,,0.136,0.099,,,12,9,
"A04",Rare Event Detection,"RED","YC210224S-",Ch1Unknown,"BCoV","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.1,1.6,37,19224,2,35,389,18835,0.078,19261,,,,,,,,0.094,,,0.126,0.062,8.6,,,11.2,5.9,1,1,5851,9296.5,2677.3,2690,"Rare Event Detection Experiment",,,,2.65,1.91,,,,,,,0.11,0.078,,,9.9,7.2,
"A05",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,17085,0,0,0,17085,0,17085,,,,,,,,,,,,,,,,,,1,1,5851,0,2793.6,2793.6,"Rare Event Detection Experiment",,,,0.094,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC210225S",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.4,2.5,49,17006,2,47,441,16565,0.0517,17055,,,,,,,,0.109,,,0.142,0.077,9.9,,,12.5,7.2,1,1,5851,9465.9,2839.2,2858.2,"Rare Event Detection Experiment",,,,3.89,2.93,,,,,,,0.126,0.093,,,11.2,8.5,
"B02",Rare Event Detection,"RED","YC210225S",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.4,2.5,50,17273,2,48,435,16838,0.0516,17323,,,,,,,,0.113,,,0.146,0.08,10.2,,,12.8,7.5,1,1,5851,9571.2,2845.8,2865.2,"Rare Event Detection Experiment",,,,3.9,2.94,,,,,,,0.13,0.096,,,11.5,8.8,
"B03",Rare Event Detection,"RED","YC210225S-",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,48,16189,0,48,420,15769,0,16237,,,,,,,,0.113,,,0.147,0.079,10.2,,,12.9,7.4,1,1,5851,9632.8,2842.7,2862.8,"Rare Event Detection Experiment",,,,4,3,,,,,,,0.13,0.096,,,11.5,8.8,
"B04",Rare Event Detection,"RED","YC210225S-",Ch1Unknown,"BCoV","Manual",2.1,One-Step RT-ddPCR Kit for Probes,42,,,2.9,1.4,32,17971,0,32,448,17523,0,18003,,,,,,,,0.071,,,0.096,0.045,6.6,,,8.8,4.4,1,1,5851,9358.6,2804.6,2816.2,"Rare Event Detection Experiment",,,,2.48,1.75,,,,,,,0.084,0.058,,,7.7,5.5,
"B05",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.53,0,0,6666,0,0,31,6635,0,6666,,,,,,,,,,,,,,,,,,1,1,5851,0,1320.5,1320.5,"Rare Event Detection Experiment",,,,0.24,0,,,,,,,,,,,,,
"C01",Rare Event Detection,"RED","YC210325S-",Ch1Unknown,"BCoV","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.8,2,39,16169,0,39,385,15784,0,16208,,,,,,,,0.1,,,0.133,0.067,9.1,,,11.9,6.4,1,1,5851,9507.9,2796.4,2812.6,"Rare Event Detection Experiment",,,,3.31,2.41,,,,,,,0.117,0.083,,,10.5,7.7,
"C02",Rare Event Detection,"RED","YC210325S-",Ch1Unknown,"BCoV","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.4,3.4,71,19456,0,71,404,19052,0,19527,,,,,,,,0.174,,,0.218,0.13,14.8,,,18,11.6,1,1,5851,9546.5,2828.8,2853.2,"Rare Event Detection Experiment",,,,4.8,3.8,,,,,,,0.197,0.152,,,16.5,13.2,
"C03",Rare Event Detection,"RED","YC210325S-",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.2,3.1,58,16831,3,55,390,16441,0.118,16889,,,,,,,,0.146,,,0.187,0.106,12.7,,,15.8,9.7,1,1,5851,9430.9,2852.6,2875.2,"Rare Event Detection Experiment",,,,4.6,3.5,,,,,,,0.167,0.126,,,14.3,11.2,
"C04",Rare Event Detection,"RED","YC210325S-",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,49,16488,0,49,366,16122,0,16537,,,,,,,,0.133,,,0.172,0.093,11.7,,,14.8,8.6,1,1,5851,9271.4,2788.1,2807.3,"Rare Event Detection Experiment",,,,4.01,3.02,,,,,,,0.153,0.112,,,13.3,10.1,
"D01",Rare Event Detection,"RED","YC210326S",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,16567,0,0,0,16567,0,16567,,,,,,,,,,,,,,,,,,1,1,5851,0,2829.1,2829.1,"Rare Event Detection Experiment",,,,0.097,0,,,,,,,,,,,,,
"D02",Rare Event Detection,"RED","YC210326S",Ch1Unknown,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17766,0,0,5,17761,0,17766,,,,,,,,,,,,,,,,,,1,1,5851,0,2861.4,2861.4,"Rare Event Detection Experiment",,,,0.091,0,,,,,,,,,,,,,
"D03",Rare Event Detection,"RED","YC210326S-",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.3,47,17791,1,46,548,17243,0,17838,,,,,,,,0.084,,,0.11,0.059,7.8,,,9.9,5.6,1,1,5851,9421,2775.5,2793,"Rare Event Detection Experiment",,,,3.58,2.67,,,,,,,0.097,0.072,,,8.9,6.7,
"D04",Rare Event Detection,"RED","YC210326S-",Ch1Unknown,"BCoV","Manual",3.6,One-Step RT-ddPCR Kit for Probes,72,,,4.7,2.7,51,16512,2,49,478,16034,0.0383,16563,,,,,,,,0.105,,,0.135,0.074,9.5,,,12,7,1,1,5851,9394,2784.8,2805.2,"Rare Event Detection Experiment",,,,4.2,3.1,,,,,,,0.12,0.089,,,10.8,8.2,
"E01",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",9.3,One-Step RT-ddPCR Kit for Probes,186,,,10.9,7.8,138,17328,138,0,17328,0,0,17466,,,,,,,,,,,,,,,,,,1,1,5851,10045,2852.8,2909.6,"Rare Event Detection Experiment",,,,10.1,8.5,,,,,,,,,,,,,
"E02",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"BCoV","Manual",8.2,One-Step RT-ddPCR Kit for Probes,164,,,9.7,6.7,117,16756,117,0,16756,0,0,16873,,,,,,,,,,,,,,,,,,1,1,5851,9807.8,2846.6,2894.9,"Rare Event Detection Experiment",,,,8.9,7.4,,,,,,,,,,,,,
"E03",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18384,0,0,0,18384,0,18384,,,,,,,,,,,,,,,,,,1,1,5851,0,2826.8,2826.8,"Rare Event Detection Experiment",,,,0.088,0,,,,,,,,,,,,,
"E04",Rare Event Detection,"RED","BCoV",Ch1Positive Control,"BCoV","Manual",308,One-Step RT-ddPCR Kit for Probes,6160,,,318,298,3591,11989,0,3591,0,11989,0,15580,,,,,,,,,,,,,,,,,,1,1,5851,9497,2834.6,4370.2,"Rare Event Detection Experiment",,,,313,303,,,,,,,,,,,,,
