Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","AA210401S",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.3,2.8,44,16074,3,41,767,15307,0.069,16118,,,,,,,,0.056,,,0.073,0.039,5.3,,,6.8,3.8,1,1,4151,9629.8,2067.3,2087.9,"Rare Event Detection Experiment",,,,3.7,0,,,,,,,0.064,0.047,,,6.1,4.5,
"A02",Rare Event Detection,"RED","AA210401S",Ch1Unknown,"BCoV","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.7,2.4,43,17987,1,42,885,17102,0,18030,,,,,,,,0.047,,,0.062,0.033,4.5,,,5.9,3.2,1,1,4151,9818.8,2075.7,2094.2,"Rare Event Detection Experiment",,,,3.3,0,,,,,,,0.055,0.04,,,5.2,3.9,
"A03",Rare Event Detection,"RED","AA210401S-",Ch1Unknown,"BCoV","Manual",10.4,One-Step RT-ddPCR Kit for Probes,208,,,12,9.6,170,19070,30,140,3955,15115,0,19240,,,,,,,,0.038,,,0.044,0.032,3.7,,,4.2,3.1,1,1,4151,9690.3,2150.4,2217,"Rare Event Detection Experiment",,,,11,0,,,,,,,0.0412,0.0352,,,3.96,3.41,
"A04",Rare Event Detection,"RED","AA210401S-",Ch1Unknown,"BCoV","Manual",6.3,One-Step RT-ddPCR Kit for Probes,126,,,7.5,5.7,102,18970,16,86,2220,16750,0.284,19072,,,,,,,,0.043,,,0.052,0.034,4.1,,,4.9,3.3,1,1,4151,9735.1,2131.9,2172.6,"Rare Event Detection Experiment",,,,6.9,0,,,,,,,0.0474,0.0386,,,4.52,3.72,
"A05",Rare Event Detection,"RED","AA210411S",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.4,2.2,42,19576,1,41,1023,18553,0,19618,,,,,,,,0.04,,,0.052,0.028,3.8,,,5,2.7,1,1,4151,9545.9,2141,2156.8,"Rare Event Detection Experiment",,,,2.9,0,,,,,,,0.046,0.034,,,4.4,3.3,
"A06",Rare Event Detection,"RED","AA210411S",Ch1Unknown,"BCoV","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.3,2.1,41,19662,1,40,1007,18655,0,19703,,,,,,,,0.04,,,0.052,0.027,3.8,,,5,2.7,1,1,4151,9479.5,2079.3,2094.7,"Rare Event Detection Experiment",,,,2.9,0,,,,,,,0.046,0.033,,,4.4,3.2,
"A07",Rare Event Detection,"RED","AA210411S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.7,2.5,52,21164,2,50,1361,19803,0,21216,,,,,,,,0.037,,,0.047,0.027,3.6,,,4.5,2.6,1,1,4151,9761.9,2187.6,2206.2,"Rare Event Detection Experiment",,,,3.3,0,,,,,,,0.042,0.032,,,4.05,3.08,
"A08",Rare Event Detection,"RED","AA210411S-",Ch1Unknown,"BCoV","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.3,2.9,54,18987,2,52,1194,17793,0,19041,,,,,,,,0.044,,,0.056,0.032,4.2,,,5.3,3.1,1,1,4151,9487.1,2151.3,2172.1,"Rare Event Detection Experiment",,,,3.8,0,,,,,,,0.05,0.038,,,4.8,3.6,
"A09",Rare Event Detection,"RED","AA210419S",Ch1Unknown,"BCoV","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.3,2.9,55,19422,1,54,1065,18357,0,19477,,,,,,,,0.05,,,0.064,0.037,4.8,,,6,3.5,1,1,4151,9637.2,2185.1,2206.2,"Rare Event Detection Experiment",,,,3.8,0,,,,,,,0.057,0.043,,,5.4,4.2,
"A10",Rare Event Detection,"RED","AA210419S",Ch1Unknown,"BCoV","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.2,2.8,53,19236,3,50,1068,18168,0.00371,19289,,,,,,,,0.048,,,0.062,0.035,4.6,,,5.8,3.4,1,1,4151,9663.2,2208.2,2228.7,"Rare Event Detection Experiment",,,,3.7,0,,,,,,,0.055,0.041,,,5.2,4,
"A11",Rare Event Detection,"RED","AA210419S-",Ch1Unknown,"BCoV","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.1,1.9,39,20260,1,38,1163,19097,0,20299,,,,,,,,0.033,,,0.043,0.022,3.2,,,4.1,2.2,1,1,4151,9586.7,2247.1,2261.2,"Rare Event Detection Experiment",,,,2.6,0,,,,,,,0.038,0.027,,,3.65,2.66,
"A12",Rare Event Detection,"RED","AA210419S-",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,3.1,54,17942,6,48,1062,16880,0.195,17996,,,,,,,,0.049,,,0.063,0.036,4.7,,,5.9,3.5,1,1,4151,9365.3,2129.5,2151.2,"Rare Event Detection Experiment",,,,4,0,,,,,,,0.056,0.042,,,5.3,4.1,
"B01",Rare Event Detection,"RED","AA210402S",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,4.1,2.6,41,15922,2,39,687,15235,0.0178,15963,,,,,,,,0.058,,,0.077,0.04,5.5,,,7.2,3.9,1,1,4151,9908.6,2178.2,2198.1,"Rare Event Detection Experiment",,,,3.5,0,,,,,,,0.068,0.049,,,6.3,4.7,
"B02",Rare Event Detection,"RED","AA210402S",Ch1Unknown,"BCoV","Manual",3.8,One-Step RT-ddPCR Kit for Probes,76,,,4.8,3.3,61,19000,8,53,897,18103,0.332,19061,,,,,,,,0.066,,,0.083,0.049,6.2,,,7.7,4.7,1,1,4151,9933.1,2194.9,2219.7,"Rare Event Detection Experiment",,,,4.3,0,,,,,,,0.075,0.057,,,6.9,5.4,
"B03",Rare Event Detection,"RED","AA210402S-",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.2,3.6,66,18760,3,63,918,17842,0,18826,,,,,,,,0.07,,,0.088,0.052,6.5,,,8.1,5,1,1,4151,9964,2198,2225.3,"Rare Event Detection Experiment",,,,4.7,0,,,,,,,0.079,0.061,,,7.3,5.8,
"B04",Rare Event Detection,"RED","AA210402S-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.4,3,59,20232,2,57,896,19336,0,20291,,,,,,,,0.064,,,0.081,0.047,6,,,7.5,4.5,1,1,4151,9890.4,2196.9,2219.2,"Rare Event Detection Experiment",,,,3.9,0,,,,,,,0.073,0.056,,,6.8,5.3,
