Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"A01",Rare Event Detection,"RED","AA210421S",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.5,3,56,18973,2,54,874,18099,0,19029,,,,,,,,0.063,,,0.08,0.046,5.9,,,7.4,4.4,1,1,3594,7761.2,2067.1,2083.9,"Rare Event Detection Experiment",,,,4,0,,,,,,,0.071,0.054,,,6.6,5.1,
"A02",Rare Event Detection,"RED","AA210421S",Ch1Unknown,"BCoV","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.6,3.8,55,14923,3,52,706,14217,0.0328,14978,,,,,,,,0.076,,,0.097,0.055,7.1,,,8.9,5.2,1,1,3594,8023.3,2094.3,2116.1,"Rare Event Detection Experiment",,,,4.9,0,,,,,,,0.086,0.065,,,8,6.1,
"A03",Rare Event Detection,"RED","AA210421S-",Ch1Unknown,"BCoV","Manual",4.8,One-Step RT-ddPCR Kit for Probes,96,,,6,4.3,79,19297,2,77,922,18375,0,19376,,,,,,,,0.084,,,0.103,0.064,7.7,,,9.4,6.1,1,1,3594,7872,2144.3,2167.7,"Rare Event Detection Experiment",,,,5.4,0,,,,,,,0.093,0.074,,,8.5,6.9,
"A04",Rare Event Detection,"RED","AA210421S-",Ch1Unknown,"BCoV","Manual",5.6,One-Step RT-ddPCR Kit for Probes,112,,,6.9,5.1,91,18908,3,88,877,18031,0,18999,,,,,,,,0.101,,,0.123,0.079,9.2,,,11,7.4,1,1,3594,7849.4,2072.5,2100.1,"Rare Event Detection Experiment",,,,6.3,0,,,,,,,0.112,0.09,,,10.1,8.3,
"A05",Rare Event Detection,"RED","AA210429S",Ch1Unknown,"BCoV","Manual",5.2,One-Step RT-ddPCR Kit for Probes,104,,,6.4,4.7,93,20913,8,85,1804,19109,0,21006,,,,,,,,0.049,,,0.059,0.039,4.7,,,5.6,3.8,1,1,3594,7920.5,2180.6,2206,"Rare Event Detection Experiment",,,,5.8,0,,,,,,,0.054,0.044,,,5.16,4.21,
"A06",Rare Event Detection,"RED","AA210429S",Ch1Unknown,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.1,3.6,67,19376,4,63,1562,17814,0,19443,,,,,,,,0.041,,,0.051,0.031,3.9,,,4.9,3,1,1,3594,7852.7,2115.3,2135,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.046,0.036,,,4.42,3.48,
"A07",Rare Event Detection,"RED","AA210429S-",Ch1Unknown,"BCoV","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.4,3.8,69,18991,5,64,1596,17395,0,19060,,,,,,,,0.041,,,0.051,0.031,4,,,4.9,3,1,1,3594,7938.6,2119.6,2140.7,"Rare Event Detection Experiment",,,,4.8,0,,,,,,,0.046,0.036,,,4.44,3.5,
"A08",Rare Event Detection,"RED","AA210429S-",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,4.9,3.5,71,21111,8,63,1618,19493,0.154,21182,,,,,,,,0.042,,,0.052,0.032,4,,,5,3.1,1,1,3594,7860.3,2104.3,2123.6,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,0.047,0.037,,,4.5,3.57,
"A09",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.37,One-Step RT-ddPCR Kit for Probes,7.4,,,0.75,0.24,6,19123,0,6,71,19052,0,19129,,,,,,,,,,,,,,,,,,1,1,3594,7893.6,2122.9,2124.8,"Rare Event Detection Experiment",,,,0.54,0,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","AA210422S",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.2,3.5,54,15884,3,51,810,15074,0.0192,15938,,,,,,,,0.065,,,0.083,0.047,6.1,,,7.7,4.5,1,1,3594,7926.8,2148,2167.6,"Rare Event Detection Experiment",,,,4.6,0,,,,,,,0.074,0.056,,,6.9,5.3,
